company_name,location,role_title,salary_range_lpa,match_reason,company_url,careers_page,linkedin_company_page,contact_page,job_url,hiring_status,priority_score,notes
"Sarvam AI","Bengaluru","Forward Deployed Engineer - RAG and ML Specialist / Backend Engineer (FastAPI)","25-45 LPA (estimated)","JD explicitly lists FastAPI, LangChain, LlamaIndex, CrewAI, LangGraph, RAG, vector DBs, multi-agent — near-perfect overlap with Amit's RAG/LLM/FastAPI/production AI stack. India's sovereign LLM flagship.","https://www.sarvam.ai","https://www.sarvam.ai/careers","https://www.linkedin.com/company/sarvamai/","careers@sarvam.ai","https://careers.kula.ai/sarvam-ai/2964","actively hiring",98,"Govt-selected for India sovereign LLM;  $53M Series A (Lightspeed/Peak XV/Khosla).  24+ open roles.  Cold email: lead with production RAG deployments + FastAPI at scale + multilingual interest."
"Postman","Bengaluru","Applied AI Engineer, Postbot (2+ yrs)","25-35 LPA","Postbot is Postman's flagship GenAI assistant; team hires 2-5 yr full-stack engineers for LLM/agentic workflows;  FastAPI/Python/Node stack aligns with Amit's RAG/LLM background.","https://www.postman.com","https://www.postman.com/company/careers/open-positions/","https://www.linkedin.com/company/postman","https://www.postman.com/company/contact-us/","https://boards.greenhouse.io/postman/jobs/5554642003","actively hiring",98,"Bengaluru HQ; 2-5 yr band confirmed on Weekday job board.  Cold email: emphasize Postbot prompt orchestration experience + 50K queries/month production RAG."
"Flipkart","Bengaluru","SDE II / SDE III - GenAI / ML Engineer","22-38 LPA","Flagship GenAI assistant Flippi (LLM+RAG+NER+Query Reformulation, arXiv 2507.05788);  explicitly looks for Python + RAG + prompt engineering at SDE II level (1+ yr Python ML libs)."," https://www.flipkart.com","https://www.flipkartcareers.com/","https://www.linkedin.com/company/flipkart","https://www.flipkartcareers.com/#!/joinus/contactus","https://peerlist.io/company/flipkart/careers/software-development-engineer-ii-gen-ai/jobh7bjpjkamq7qpeh66qbggn86ka8","actively hiring",98,"Top ML team in Indian e-commerce; Mayur Datar leads.  Multimodal search, seller GenAI,  Triksha security. Strong RAG/LLM cold-email fit."
"Hasura (PromptQL)","Bengaluru","Software Engineer - PromptQL AI","28-40 LPA","PromptQL is Hasura's flagship enterprise GenAI/RAG platform on Hasura DDN; team hires across LLM agents, retrieval, runtime infra  — Amit's Milvus/Qdrant/RAG/Python is exact match.","https://hasura.io","https://hasura.io/careers/","https://www.linkedin.com/company/hasura","https://hasura.io/contact-us","https://hasura.freshteam.com/jobs","actively hiring",97,"PromptQL is Hasura's strategic 2025-26 bet. Bengaluru + SF.  Watch Freshteam closely for mid-level backfills."
"Fractal Analytics","Bengaluru","Senior Data Scientist - Generative AI / AI Engineer - LLMOps (2-5 yrs)","18-32 LPA","Fortune 500 AI partner with public GenAI/LLM offerings (LLM Studio on NVIDIA, Kyron AI); active GenAI Data Scientist + AI Engineer LLMOps roles in Bengaluru; Python/PyTorch/LLM/RAG/AWS stack.","https://fractal.ai","https://fractal.wd1.myworkdayjobs.com/Careers","https://in.linkedin.com/company/fractal-analytics","HiringsupportIndia@fractal.ai","https://fractal.wd1.myworkdayjobs.com/en-US/Careers/job/Bengaluru/Lead-Gen-AI-Data-Scientist---GenAI_SR-27602","actively hiring",96,"57+ India roles on Workday;  ~66 open per Glassdoor; multiple Bengaluru GenAI/LLM postings."
"Swiggy","Bengaluru","Machine Learning Engineer II","20-35 LPA","Explicit MLE II posting requires 2-4 yrs Python/TF/Keras; GenAI search and personalization initiatives; Bolt 10-min delivery uses ML for ETA/dispatch.","https://www.swiggy.com","https://careers.swiggy.com/","https://www.linkedin.com/company/swiggy-in","https://careers.swiggy.com/","https://www.instahyre.com/job-91178-machine-learning-engineer-ii-at-swiggy-bangalore/","actively hiring",96,"Strong public eng blog (bytes.swiggy.com); IPO'd 2024 → ESOP upside. 13+ open ML roles." 
"Walmart Global Tech India","Bengaluru","Software Engineer III / ML Engineer (GenAI)","30-45 LPA","Internal teams use the exact stack: LangGraph, RAG, Milvus, FastAPI, Azure SQL for customer-support chatbot. Active SE III postings with GenAI/LLM/Agentic AI requirements.","https://tech.walmart.com","https://careers.walmart.com/results?q=software%20engineer&page=1&sort=date&jobCity=Bengaluru&type=jobs","https://www.linkedin.com/company/walmartglobaltechindia","https://tech.walmart.com/content/walmart-global-tech/en_us/contact-us.html","https://in.linkedin.com/company/walmartglobaltechindia/jobs","actively hiring",96,"Stack match is unusually exact (Milvus + FastAPI + RAG + LangGraph in production). Bengaluru-only role."
"Quantiphi","Bengaluru","Senior Machine Learning Engineer (GenAI/RAG, 3-6 yrs)","20-34 LPA","AI-first digital engineering firm;  explicit RAG/LLM/Agentic frameworks (LangGraph, LangChain, AWS Bedrock Agentcore); Elite NVIDIA/AWS/GCP partner; SageMaker/Lambda stack.","https://quantiphi.com","https://quantiphi.wd1.myworkdayjobs.com/Careers_at_Quantiphi","https://in.linkedin.com/company/quantiphi","https://quantiphi.com/contact-us/","https://quantiphi.wd1.myworkdayjobs.com/Careers_at_Quantiphi","actively hiring",95,"Multiple Bengaluru GenAI MLE postings; Levels.fyi MLE total comp ₹8.8L-22.7L+ mid-level; senior 25-35 LPA."
"Tredence","Bengaluru","Senior AI/ML Engineer - Agentic AI Systems (Python, LangGraph, FastAPI)","20-32 LPA","JD literally matches candidate: Python, LangGraph, LangChain, FastAPI, Celery, Redis, PostgreSQL, Docker, Kubernetes, Azure; Gartner Leader 2025 GenAI Emerging Market Quadrant."," https://www.tredence.com","https://www.tredence.com/company-careers","https://in.linkedin.com/company/tredence","https://www.tredence.com/contact-us","https://www.tredence.com/company-careers","actively hiring",95,"69 open Tredence jobs on Naukri; Pune and Gurgaon roles also available."
"Whatfix","Bengaluru","AI Engineer (Backend + AI) — 2 to 5 yrs","25-38 LPA","JD asks for 2-5 yrs with LLMs, RAG, vector DBs (Pinecone/Weaviate/FAISS), LangChain/LlamaIndex.  ScreenSense AI + Whatfix Mirror is flagship GenAI product.","https://whatfix.com","https://whatfix.com/careers/","https://www.linkedin.com/company/whatfix","https://whatfix.com/contact-us/","https://whatfix101.hire.trakstar.com/jobs","actively hiring",95,"Bengaluru HQ; JD nearly mirrors Amit's resume; 5-day in-office policy."
