"company_name","location","role_title","salary_range_lpa","funding_stage","recent_signal","match_reason","company_url","careers_page","linkedin_company_page","contact_page","job_url","hiring_status","priority_score","cold_outreach_angle","notes"
"Unsiloed AI","Bengaluru","Founding/Senior AI Engineer (Document AI)","60-100","Seed (YC F25, ~$2M Oct 2025)","Launched on YC Oct 2025; processing millions of pages/week for Fortune-150 banks; shipped Edit APIs + cross-page table reconciliation","Direct overlap: multimodal OCR+doc-AI, RAG ingestion, Vision-LMs, JSON/Markdown schema extraction — mirrors Amit's OCR/RAG/FastAPI work","https://www.unsiloed.ai/","https://www.workatastartup.com/companies/30894","https://www.linkedin.com/company/unsiloed-ai","https://www.unsiloed.ai/","https://wellfound.com/company/unsiloed-ai","actively hiring",95,"'95% MRR on 50K+/month RAG — saw your benchmarks vs LlamaIndex/Gemini/Unstructured. Can ship retrieval-optimization + eval loops for your Vision-LM pipeline from day 1.'","Founders Aman Mishra & Adnan Abbas (IIT KGP); built for Goldman/Schwab pre-YC"
"5C Network","Bengaluru","Applied Scientist / ML Engineer - Computer Vision","20-40","Growth (Tata, Capria, Celesta, Axilor)","Feb 2026: 12 open roles incl. senior CV scientist for CT/MRI/X-ray; processes 10K+ scans/day","250+ CV models + 100+ clinical LLMs (Bionic AI); DICOM ingestion + structured report generation = multi-model orchestration + OCR","https://www.5cnetwork.com/","https://www.5cnetwork.com/careers","https://in.linkedin.com/company/5c-network","https://www.5cnetwork.com/about","https://www.5cnetwork.com/careers","actively hiring",95,"'You ship daily into 1500+ hospitals — I run 95% MRR RAG with multi-model orchestration (GPT-4o/Gemini/Qwen/Llama); would love to plug into your Bionic Report eval/QC layer.'","Founders Kalyan Sivasailam, Syed Ahmed; HQ BTM Layout; PyTorch+DICOM+LLMs"
"Coreworks AI","Bengaluru","Senior AI Engineer / Founding Engineer","28-50","Seed ($5M Mar 2026, Together Fund + IvyCap)","Just-raised seed Mar 2026; launching product in 8-12 weeks; multi-agent framework across OpenAI/Anthropic/Google models","Multi-agent framework over multiple public LLMs = textbook multi-model orchestration; NL query engine over ERP/CRM/spreadsheets = doc-AI + RAG","https://www.coreworks.ai/","https://www.linkedin.com/company/coreworks-ai","https://www.linkedin.com/company/coreworks-ai","https://www.coreworks.ai/","https://www.linkedin.com/company/coreworks-ai","actively  hiring",94,"'Just-raised seed + founding team + multi-agent framework over public LLMs = textbook stage to bring in a senior AI engineer with production RAG. I run that exact orchestration at 50K queries/mo.'","Co-founder Pavan Sondur sold Unbxd to Netcore ~$100M; co-founder Prashant Kumar ex-Amazon 6y + Unbxd"
"Adya AI","Bengaluru","AI / Backend Engineer (agentic systems)","18-35","Seed ($2.04M cumulative)","Google for Startups AI First India 2025; Inc42 'AI Startups To Watch' Nov 2025; SuperAgent + AI Employees v2 launch Aug 2025","Full-stack agentic 'AI creates AI' platform  = multi-model orchestration (GPT-4o/Gemini/Qwen/Llama), AI workflows, RAG, FastAPI","https://adya.ai/","https://adya.ai/our-agents","https://www.linkedin.com/company/adya-ai","https://adya.ai/","https://www.jobaaj.com/company/adya-ai-careers","actively hiring",94,"'I built RAG hitting 95% MRR on 50K+ queries/mo with multi-model routing — exactly the orchestration spine your SuperAgent depends on. Happy to help productionize Adya's agent-of-agents fan-out.'","Founders Shayak Mazumder,  Archana Shah, Angad Singh Ahluwalia; ~24-45 employees" 
"Provakil","Pune","Senior ML Engineer / Backend Engineer (Document AI)","18-32","Bootstrapped (10+yrs operating, 250+ enterprise customers)","2025: 10-yr anniversary; ALB Mumbai/Riyadh/APAC; hiring Eng Manager; AI extracts clauses/risks/summaries across 19K court forums","Enterprise legal-ops with AI clause extraction, contract summarization, 8000+ courts data — pure doc-AI + RAG fit","https://provakil.com/","https://provakil.com/careers/","https://in.linkedin.com/company/provakil","https://provakil.com/","https://provakil.com/openings/","actively hiring",94,"'Your CLM extracts clauses across 1L+ contracts and 50L+ notices/month — I built a 50K queries/mo RAG over messy docs with Milvus/Qdrant; let's discuss scaling your IP-watch/clause-extraction pipelines.'","Founders Pulkit & Akshat Anand; HQ Baner, Pune"
"OnFinance AI","Bengaluru","AI Engineer / Senior AI Engineer (NeoGPT, RAG)","20-35","Pre-Series A ($4.2M Peak XV Surge, Sep 2025; $5.3M total)","Surge-led Sep 2025; live with BSE, Kotak MF, Nippon MF, HDFC Securities; NeoGPT trained on 300M+ tokens RBI/SEBI/IRDAI","NeoGPT = fine-tuned Llama 3.3 70B + RAG on regulatory data; 70+ AI agents in prod = exact match for Amit's RAG/multi-model/Milvus stack","https://onfinance.ai/","https://onfinance.ai/company","https://in.linkedin.com/company/onfinanceofficial","team@onfinance.in","https://onfinance.ai/company","actively hiring",92,"'Built a RAG system at 95% MRR / 50K+ q/mo — your ComplianceOS (circular ingestion + 70-agent fan-out) is exactly the kind of retrieval-bottleneck I love. Would love 20 min with Anuj.'","Founders Anuj & Priyesh Srivastava (BITS Pilani); 38-person team; HSR Layout, Bengaluru; Forbes 30U30 2024" 
"CoRover.ai","Bengaluru (Kadubeesanahalli)","Gen AI / AI & ML Engineer (Python, LangGraph, RAG, MCP)","18-32","Series A (closed Jun 2025; $5.72M cumulative)","Series A Jun 2025; NVIDIA Inception (Nemotron+Riva for IRCTC at 10K concurrent users); BharatGPT submitted to MeitY; Google Cloud GTM partner","Job spec literally lists FastAPI/asyncio/Pydantic/RAG/LangGraph/MCP — verbatim Amit's stack; BharatGPT serves IRCTC/LIC/NPCI at 1B+ user scale","https://corover.ai/","https://corover.ai/careers/","https://in.linkedin.com/company/corover","ankush@corover.ai","https://corover.ai/careers/","actively hiring",92,"'You're scaling BharatGPT to 1.3B users in 100+ languages — I bring production RAG (95% MRR, 50K q/mo with Milvus/Qdrant) + multi-model orchestration tuned for low-resource Indic languages.'","Founder Ankush Sabharwal et al. ex-Sybase/SAP;  101 employees;  founder email public; Rs 100Cr pipeline" 
"Arrowhead AI","Bengaluru","AI/Backend Engineer (Voice AI)","22-38","Seed ($3M, Jan 2026, Stellaris)","$3M Jan 2026; 50+ BFSI clients incl. Bank of Baroda Cards, Aditya Birla Capital;  4x revenue growth in 6 months","Proprietary  architecture routes parts of a call across STT + multiple LLMs + TTS in real time  = direct multi-model orchestration","https://arrowhead.com","https://www.linkedin.com/company/arrowhead-ai/","https://www.linkedin.com/company/arrowhead-ai/","Founders via LinkedIn","https://www.linkedin.com/company/arrowhead-ai/","actively hiring",92,"'Just-raised seed + ultra-low-latency voice AI for BFSI = exactly your multi-model orchestration stack. Public claim of per-turn model routing = same pattern I ran for 50K+ q/mo. Vengad is ex-AWS, will get the FastAPI+Lambda angle.'","Founders Devyani Gupta (CEO, ex-BCG/Wharton), Vengadanathan Srinivasan (CTO, ex-AWS/Rippling/Uber/Airbnb)" 
"Protecto","Bengaluru (Whitefield) + San Jose","ML / Backend Engineer (AI Security)","20-40","Seed ($5M total; $4M Together Fund)","Google for Startups AI First India 2025; Vault GA on Google Cloud Marketplace 2025; new Context-Based Access Control for agents","Privacy/RAG security layer: PII detection, RAG pipeline masking,  vector-DB-aware policy enforcement = Amit's RAG + vector + eval","https://www.protecto.ai/","https://www.protecto.ai/careers/","https://www.linkedin.com/company/protectoai","https://www.protecto.ai/contact","https://www.protecto.ai/careers/","actively hiring",92,"'Your CBAC sits exactly where my Milvus/Qdrant + FastAPI RAG runs in prod — I've shipped PII-aware retrieval with multi-model routing at 50K q/mo & 95% MRR. Happy to dig into your context-security pipeline.'","Founder Amar Kanagaraj (ex-Microsoft Search/AI); Brigade IRV Whitefield;  ~50 ppl"
"Vodex.ai","Bengaluru (Bannerghatta Rd)","Backend / AI Voice Agent Engineer","16-30","Seed ($2.32M; 100X.VC, Unicorn India, Pentathlon)","Launched 'Dros' (Debt Resolution OS) 2025; APAC+US expansion; SOC2+ISO27001+HIPAA; integrations with ViciDial","Generative AI outbound voice agents  in 96 languages = ASR+LLM+TTS multi-model orchestration; Python backend","https://www.vodex.ai/","https://careers.vodex.ai/","https://in.linkedin.com/company/vodexai","https://www.vodex.ai/contact-us","https://careers.vodex.ai/","actively hiring",92,"'Scaling voice agents for collections/insurance with proprietary ASR+LLM+TTS — I run multi-model orchestration in prod at 50K q/mo & 95% MRR. Would love to contribute on evals + low-latency RAG over compliance scripts.'","Co-founders Anshul Shrivastava, Kumar Saurav;  LilChirp AI Technologies;  ~27 employees" 
